"formA","formB","scaled"
43,43,127.645407872561
77,76,215.093270176691
60,63,171.369339024626
68,65,191.945306625598
47,37,137.933391673047
68,58,191.945306625598
51,51,148.221375473532
58,56,166.225347124383
43,43,127.645407872561
67,60,189.373310675476
71,69,199.661294475962
86,76,238.241233727784
56,56,161.08135522414
50,52,145.649379523411
53,53,153.365367373775
63,56,179.08532687499
74,73,207.377282326327
55,54,158.509359274018
46,46,135.361395722925
77,74,215.093270176691
49,56,143.07738357329
66,63,186.801314725355
79,70,220.237262076934
64,59,181.657322825112
69,71,194.517302575719
46,47,135.361395722925
68,71,191.945306625598
73,68,204.805286376205
54,53,155.937363323897
64,60,181.657322825112
54,57,155.937363323897
50,51,145.649379523411
81,74,225.381253977177
80,65,222.809258027055
66,57,186.801314725355
71,67,199.661294475962
65,62,184.229318775233
55,49,158.509359274018
68,60,191.945306625598
54,59,155.937363323897
58,56,166.225347124383
55,47,158.509359274018
56,54,161.08135522414
56,59,161.08135522414
59,47,168.797343074504
78,70,217.665266126812
56,50,161.08135522414
67,73,189.373310675476
53,51,153.365367373775
71,82,199.661294475962
60,63,171.369339024626
60,51,171.369339024626
75,70,209.949278276448
73,75,204.805286376205
54,49,155.937363323897
70,62,197.089298525841
73,59,204.805286376205
64,70,181.657322825112
56,56,161.08135522414
52,56,150.793371423654
75,66,209.949278276448
69,65,194.517302575719
59,52,168.797343074504
66,65,186.801314725355
67,67,189.373310675476
80,83,222.809258027055
50,40,145.649379523411
55,54,158.509359274018
71,76,199.661294475962
60,62,171.369339024626
50,51,145.649379523411
48,53,140.505387623168
60,60,171.369339024626
68,65,191.945306625598
59,50,168.797343074504
54,58,155.937363323897
68,62,191.945306625598
66,64,186.801314725355
70,76,197.089298525841
52,50,150.793371423654
70,66,197.089298525841
62,62,176.513330924869
56,54,161.08135522414
63,72,179.08532687499
70,62,197.089298525841
48,46,140.505387623168
71,69,199.661294475962
54,47,155.937363323897
49,48,143.07738357329
91,83,251.101213478392
39,33,117.357424072075
59,61,168.797343074504
71,67,199.661294475962
75,74,209.949278276448
67,65,189.373310675476
46,44,135.361395722925
59,50,168.797343074504
71,61,199.661294475962
48,54,140.505387623168
67,63,189.373310675476
63,64,179.08532687499
44,55,130.217403822682
56,45,161.08135522414
77,71,215.093270176691
68,63,191.945306625598
63,63,179.08532687499
58,53,166.225347124383
72,65,202.233290426084
42,44,125.073411922439
48,52,140.505387623168
60,64,171.369339024626
68,67,191.945306625598
57,62,163.653351174261
68,71,191.945306625598
71,70,199.661294475962
63,57,179.08532687499
70,65,197.089298525841
54,62,155.937363323897
60,56,171.369339024626
69,71,194.517302575719
84,73,233.097241827541
71,78,199.661294475962
76,65,212.521274226569
64,64,181.657322825112
67,56,189.373310675476
58,55,166.225347124383
71,68,199.661294475962
74,72,207.377282326327
58,50,166.225347124383
68,64,191.945306625598
74,72,207.377282326327
88,82,243.385225628027
54,53,155.937363323897
86,84,238.241233727784
62,51,176.513330924869
78,67,217.665266126812
69,69,194.517302575719
69,69,194.517302575719
71,59,199.661294475962
75,64,209.949278276448
88,75,243.385225628027
38,45,114.785428121953
61,47,173.941334974747
67,61,189.373310675476
75,66,209.949278276448
